Column,Y_Quality
X_574,-0.025077913
X_421,-0.025076152
X_712,-0.024897999
X_826,-0.024687502
X_697,-0.024611455
X_458,-0.024611455
X_752,-0.024108585
X_511,-0.024108585
X_800,-0.024104562
X_868,-0.023578495
X_412,-0.023251562
poly_212,-0.023219016
X_840,-0.02267799
X_608,-0.022427507
X_17,-0.022226654
X_438,-0.022057404
X_933,-0.02186674
X_927,-0.020843965
X_517,-0.020843965
poly_263,-0.020538266
X_666,-0.020517789
X_402,-0.02032998
X_465,-0.02032998
X_848,-0.02015938
X_798,-0.019857366
X_713,-0.019633994
X_811,-0.019452283
X_593,-0.019314254
X_415,-0.01903368
poly_189,-0.018537769
X_592,-0.018313275
X_469,-0.018265345
X_405,-0.018265345
X_877,-0.017682173
X_536,-0.01757441
poly_261,-0.017267154
X_723,-0.01726539
X_463,-0.01726539
poly_191,-0.016904172
X_728,-0.016074291
X_456,-0.016074291
X_830,-0.016058819
X_860,-0.015480243
X_831,-0.014944361
X_394,-0.014748224
X_665,-0.014536604
poly_224,-0.01395084
X_754,-0.013865755
X_535,-0.013764003
X_520,-0.013764003
X_914,-0.013569068
X_497,-0.013569068
X_644,-0.013569068
X_899,-0.013543349
X_718,-0.013230184
X_653,-0.013071958
X_656,-0.013071958
X_493,-0.013071958
X_878,-0.012221069
poly_250,-0.011680706
poly_227,-0.011051775
X_670,-0.010923576
X_384,-0.010837306
poly_266,-0.010585682
X_717,-0.010447905
X_637,-0.009953021
X_606,-0.009953021
X_569,-0.009925432
X_702,-0.009924256
X_701,-0.009457845
X_630,-0.008809431
X_580,-0.008809431
poly_225,-0.008536703
X_15,-0.008437664
X_885,-0.008434726
X_460,-0.007818116
X_739,-0.007818116
X_705,-0.007290977
X_600,-0.007103952
X_834,-0.007014681
X_590,-0.007014681
poly_361,-0.006987458
X_722,-0.006955816
X_453,-0.006955816
X_45,-0.006889835
X_448,-0.006710886
X_733,-0.006710886
X_408,-0.006659353
X_1,-0.0063934
X_779,-0.006265307
X_780,-0.006256998
X_596,-0.005902129
X_810,-0.005680362
poly_198,-0.005498456
X_416,-0.005413405
X_832,-0.005410397
X_707,-0.005254692
X_476,-0.005000784
X_747,-0.005000784
X_549,-0.005000784
X_789,-0.004831612
X_94,-0.004733307
X_546,-0.004700508
X_703,-0.004464543
X_856,-0.003637486
X_566,-0.003557954
X_706,-0.00338473
X_59,-0.003283853
X_787,-0.003091894
X_388,-0.00289036
X_474,-0.002551495
X_736,-0.001916801
X_461,-0.001916801
X_54,-0.001829284
X_417,-0.001661722
X_602,-0.001604688
X_478,-0.001259767
X_708,-0.000894165
X_18,-0.000406271
X_850,-0.000164311
X_915,0.000410408
X_513,0.000410408
X_808,0.000433039
X_526,0.00117669
X_441,0.00117669
X_766,0.001860737
X_770,0.002331629
X_581,0.002387647
X_632,0.002387647
X_704,0.002619587
poly_363,0.003412634
X_833,0.003565847
X_386,0.004483796
poly_360,0.004529707
X_758,0.005325469
X_595,0.005482464
X_821,0.005698053
X_506,0.005849509
poly_226,0.005935228
X_765,0.006009691
X_652,0.006343879
X_490,0.006343879
X_655,0.006343879
poly_200,0.006373269
X_385,0.00698866
X_755,0.007074698
X_611,0.00758647
X_903,0.007748546
poly_267,0.0081159
X_829,0.008210029
X_414,0.008254995
poly_197,0.008902619
X_781,0.009008754
X_802,0.009272611
X_895,0.009330093
poly_268,0.009533051
X_437,0.00985628
X_804,0.010259952
X_443,0.010393933
X_721,0.010393933
X_523,0.010409296
X_861,0.010409296
X_867,0.010411291
X_542,0.010522075
poly_255,0.010594912
X_920,0.010605297
X_499,0.010605297
X_646,0.010605297
X_585,0.011330378
X_616,0.011941252
X_568,0.012105254
X_896,0.012557348
X_510,0.012689871
X_763,0.012707274
X_58,0.013257093
X_740,0.013293543
X_470,0.013293543
X_791,0.013507307
X_803,0.014052045
poly_79,0.014420147
X_428,0.01443369
X_700,0.014752713
X_113,0.015442988
poly_252,0.015531911
X_649,0.015787997
X_929,0.015787997
X_502,0.015787997
X_862,0.016174696
X_395,0.017278285
poly_262,0.017998737
poly_190,0.018380514
poly_249,0.018967261
X_796,0.019040018
X_654,0.019514752
X_657,0.019514752
X_494,0.019514752
X_731,0.019716155
X_457,0.019716155
X_788,0.020510904
X_685,0.020517789
X_812,0.021001508
X_588,0.021111717
X_102,0.021304534
X_795,0.021350841
X_115,0.021471573
X_682,0.021985492
X_64,0.022287391
X_926,0.022344532
X_648,0.022344532
X_501,0.022344532
X_450,0.022629549
X_738,0.022629549
X_664,0.023299104
X_537,0.024152281
X_396,0.024200216
X_680,0.024319237
X_51,0.024988689
X_553,0.025335528
X_825,0.025389058
X_571,0.025903414
poly_184,0.026555807
X_662,0.02678762
X_488,0.026876337
X_504,0.026876337
X_472,0.026876337
poly_246,0.02746264
X_897,0.027540674
poly_243,0.027622341
poly_107,0.027704027
X_557,0.028255067
X_735,0.028307051
X_451,0.028307051
X_921,0.028713075
X_515,0.028713075
X_894,0.029439629
X_436,0.029927272
X_785,0.030345119
poly_283,0.030415039
poly_188,0.030739885
X_389,0.031992935
X_687,0.032723776
X_40,0.032929048
poly_77,0.033021978
X_398,0.033203695
X_527,0.033203695
X_716,0.033595643
poly_61,0.03372744
poly_186,0.033866472
X_869,0.033923735
X_42,0.034623443
X_582,0.034727337
poly_211,0.034779347
X_769,0.034822787
X_591,0.034841222
X_559,0.035415215
X_477,0.035446743
X_883,0.035505496
X_838,0.036172777
X_846,0.036590297
X_544,0.036971601
X_699,0.037883756
X_601,0.038645756
X_839,0.038808781
X_882,0.039173764
X_684,0.039311089
X_101,0.039958794
X_753,0.040158794
X_619,0.040836458
X_107,0.041002465
poly_105,0.041451129
X_930,0.041602438
X_518,0.041602438
X_562,0.04183243
X_762,0.04183243
X_46,0.041949986
X_845,0.042351605
poly_59,0.042780411
X_105,0.047356252
X_126,0.048034376
X_8,0.048637424
X_613,0.049073788
X_584,0.04911425
X_900,0.049209994
X_95,0.049291932
X_603,0.050246388
X_16,0.050688403
X_870,0.050716191
X_127,0.050974747
X_714,0.050975821
X_837,0.051019031
X_824,0.051036997
X_928,0.05242651
X_486,0.05242651
X_118,0.05282545
X_847,0.053064526
X_610,0.053064526
X_841,0.053329466
X_667,0.053410628
X_615,0.053478782
X_387,0.056538504
X_823,0.057259529
X_794,0.057456397
X_13,0.05764193
X_114,0.057859894
poly_327,0.060041061
X_750,0.060431807
X_479,0.060431807
poly_182,0.061443509
X_851,0.061569993
X_484,0.06180616
X_922,0.06180616
X_828,0.061969592
X_661,0.0622603
X_744,0.062754731
X_475,0.062754731
X_842,0.063133142
poly_324,0.063681242
X_663,0.064239235
X_48,0.064502698
X_543,0.064748629
X_884,0.065360197
X_570,0.067578899
X_909,0.068129486
poly_376,0.068397448
poly_122,0.068474875
X_538,0.068570808
poly_302,0.068726981
X_698,0.070513528
X_55,0.071278533
X_7,0.071454675
X_11,0.072274146
poly_299,0.072574633
X_678,0.072949231
X_871,0.074092054
X_12,0.07446459
X_485,0.07470697
X_925,0.07470697
X_50,0.075523189
X_550,0.075915898
X_852,0.076328796
X_790,0.076346494
X_827,0.076458034
X_563,0.076516003
X_659,0.078408593
X_41,0.079552565
X_111,0.079703959
X_745,0.079818338
X_491,0.079818338
X_923,0.080724467
X_647,0.080724467
X_500,0.080724467
X_47,0.081775615
X_117,0.084528112
X_853,0.085243197
X_751,0.085939647
X_495,0.085939647
X_521,0.086183709
X_440,0.086183709
X_9,0.086358505
poly_146,0.086652895
X_103,0.087551997
poly_321,0.088589951
X_119,0.090562541
X_556,0.090822737
X_905,0.09199929
X_65,0.096395584
X_792,0.097977572
poly_176,0.09884124
X_53,0.099157321
X_24,0.101568862
X_507,0.101682649
X_746,0.101682649
X_924,0.105260585
X_516,0.105260585
X_49,0.105839688
X_52,0.107619041
X_902,0.110578767
poly_341,0.114894887
X_674,0.11575802
X_44,0.116446653
X_875,0.116807244
X_876,0.123495666
X_528,0.126118074
X_399,0.126118074
X_773,0.132356006
X_418,0.136206289
X_623,0.137486404
X_419,0.138087387
X_565,0.139043288
X_420,0.13932791
X_56,0.141601156
X_786,0.143706856
X_693,0.153498077
X_530 - X_90,0.155968762
X_124,0.159145009
X_532 - X_90,0.16251562
X_125,0.162727816
X_124 + X_125,0.165428681
X_62,0.166443597
X_530 - X_121,0.169361759
X_793,0.171537113
X_530 + X_73,0.171537203
X_529 - X_90,0.173737066
X_532 - X_121,0.175038711
X_530 - X_120,0.176120067
X_532 + X_73,0.177304306
X_772,0.17850996
X_771,0.180367946
poly_70,0.181436403
X_532 - X_120,0.181813466
poly_56,0.186757018
X_529 - X_121,0.186865151
X_529 + X_73,0.189177731
X_529 - X_120,0.193965983
poly_98,0.212748466
X_73 - X_699,0.224738716
X_73 + X_699,0.256639557
poly_7,0.341056783
X_73,0.341056783
X_73 - X_120,0.344457373
X_124 - X_90,0.439879345
X_125 - X_90,0.478052158
X_124 - X_121,0.495212439
X_124 + X_73,0.498977984
X_124 - X_120,0.501802851
poly_168,0.532727156
poly_165,0.534650486
poly_171,0.547324551
X_125 - X_121,0.556949686
X_125 + X_73,0.559034127
X_125 - X_120,0.563387461
