feature,correlation
X_2703,-0.056097035
X_1728,-0.055569317
X_1727,-0.055569317
X_2737,-0.055569317
X_2424,-0.055569317
X_143,-0.055569317
X_1058,-0.055399265
X_1469,-0.055399265
X_858,-0.055360771
X_522,-0.055360771
X_1260,-0.055287841
X_597,-0.055052522
X_2059,-0.054744319
X_864,-0.054678163
X_524,-0.054678163
X_966,-0.054378057
X_1669,-0.053777958
X_2442,-0.053741762
X_380,-0.053613441
X_554,-0.052858175
X_2784,-0.052227576
X_1346,-0.05212354
X_2,-0.051581358
X_141,-0.051546414
X_677,-0.051063985
X_1530,-0.051059631
X_2458,-0.050607614
X_1264,-0.050583414
X_2798,-0.050329389
X_151,-0.049141716
X_403,-0.04891324
X_449,-0.04891324
X_1520,-0.048756644
X_1218,-0.048756644
X_1344,-0.048666772
X_2761,-0.048286335
X_1349,-0.04792399
X_757,-0.047689993
X_727,-0.047607018
X_446,-0.047607018
X_540,-0.047607018
X_2554,-0.04758708
X_2781,-0.047529278
X_2069,-0.047028417
X_2077,-0.047028417
X_755,-0.046564724
X_660,-0.046504714
X_624,-0.046457161
X_532,-0.046261024
X_622,-0.04621376
X_725,-0.046208745
X_454,-0.046208745
X_1634,-0.045897619
X_618,-0.045828871
X_2758,-0.045556276
X_1443,-0.045551229
X_1064,-0.045551229
X_719,-0.045462408
X_442,-0.045462408
X_1427,-0.045457498
X_530,-0.045263632
X_1517,-0.045100087
X_629,-0.04483513
X_579,-0.04483513
X_1267,-0.044249378
X_586,-0.044180036
X_2459,-0.044088965
X_670,-0.044080111
X_2867,-0.044042464
X_1959,-0.044042464
X_106,-0.044016946
X_1301,-0.043836717
X_22,-0.043761782
X_20,-0.043700716
X_2751,-0.043511536
X_1047,-0.043458222
X_1442,-0.043458222
X_577,-0.043200194
X_627,-0.043200194
X_625,-0.042944095
X_857,-0.042944095
X_575,-0.042944095
X_109,-0.042926497
X_2448,-0.042880453
X_349,-0.042753346
X_1494,-0.042641393
X_1088,-0.042641393
X_1115,-0.042626067
X_1495,-0.042626067
X_1142,-0.042609488
X_1496,-0.042609488
X_144,-0.042029144
X_261,-0.041759754
X_63,-0.041719618
X_2770,-0.041607901
X_2773,-0.041583973
X_2774,-0.041583973
X_541,-0.041364502
X_447,-0.041364502
X_730,-0.041364502
X_598,-0.041071736
X_2763,-0.04065793
X_1288,-0.040517479
X_594,-0.040317811
X_580,-0.040079368
X_630,-0.040079368
X_671,-0.039921476
X_1076,-0.039537281
X_1467,-0.039537281
X_611,-0.039193422
X_1110,-0.038976504
X_1486,-0.038976504
X_338,-0.038876821
X_2711,-0.038856558
X_818,-0.038555978
X_868,-0.038321604
X_815,-0.038220728
X_1617,-0.038016356
X_801,-0.037977039
X_1562,-0.03795376
X_645,-0.037629605
X_917,-0.037629605
X_498,-0.037629605
X_1359,-0.037430508
X_489,-0.037140509
X_742,-0.037140509
X_1282,-0.037138822
X_184,-0.036900913
X_865,-0.036855301
X_932,-0.036754038
X_1960,-0.036581828
X_2868,-0.036581828
X_404,-0.036462927
X_459,-0.036462927
X_533,-0.036269276
X_854,-0.036248338
X_2426,-0.035978878
X_123,-0.035960712
X_1534,-0.035798364
X_1369,-0.035674489
X_1458,-0.035587312
X_1037,-0.035587312
X_2427,-0.035550146
X_304,-0.035338056
X_590,-0.035327127
X_834,-0.035327127
X_2416,-0.035156014
X_1198,-0.034956056
X_1083,-0.034956056
X_1485,-0.034956056
X_1748,-0.034888393
X_1271,-0.034743903
X_21,-0.034601565
X_1308,-0.034478398
X_1242,-0.034478398
X_1546,-0.034279107
X_1186,-0.034262669
X_1455,-0.034262669
X_1036,-0.034262669
X_947,-0.034204687
X_726,-0.034188942
X_464,-0.034188942
X_1545,-0.034186359
X_1544,-0.034094497
X_549,-0.033988875
X_747,-0.033988875
X_476,-0.033988875
X_1174,-0.033945518
X_1820,-0.033905452
X_1217,-0.03389723
X_167,-0.033675384
X_137,-0.03359436
X_775,-0.033531442
X_138,-0.03340868
X_483,-0.033363462
X_919,-0.033363462
X_136,-0.03333083
X_2771,-0.033286793
X_262,-0.033259582
X_564,-0.033143005
X_1633,-0.033135584
X_450,-0.033133951
X_738,-0.033133951
X_529,-0.032952792
X_1210,-0.032818272
X_1734,-0.032656203
X_1456,-0.032506445
X_1053,-0.032506445
X_439,-0.032463596
X_711,-0.032261348
X_1307,-0.032220965
X_1241,-0.032220965
X_405,-0.032178061
X_469,-0.032178061
X_1618,-0.032127216
X_813,-0.032119387
X_805,-0.031889209
X_1272,-0.031660879
X_38,-0.031621394
X_1269,-0.031267275
X_2800,-0.031161142
X_509,-0.031051224
X_855,-0.03101113
X_807,-0.030912646
X_462,-0.030767975
X_720,-0.030767975
X_1379,-0.030402951
X_1285,-0.030302584
X_898,-0.030294074
X_276,-0.030015321
X_1016,-0.029797898
X_1406,-0.02979156
X_286,-0.02978194
X_774,-0.029772034
X_492,-0.029725927
X_748,-0.029725927
X_1547,-0.029623472
X_2423,-0.029524043
X_960,-0.029372859
X_1032,-0.029372859
X_560,-0.029369661
X_364,-0.029347459
X_2092,-0.02928869
X_2085,-0.02928869
X_365,-0.029235906
X_830,-0.029186533
X_589,-0.028996736
X_1646,-0.028929426
X_596,-0.028742238
X_918,-0.028545751
X_514,-0.028545751
X_767,-0.028455597
X_1167,-0.028398579
X_1549,-0.02827681
X_1026,-0.028145526
X_1433,-0.028145526
X_710,-0.027959571
X_473,-0.027854089
X_547,-0.027854089
X_741,-0.027854089
X_496,-0.027812783
X_911,-0.027812783
X_643,-0.027812783
X_962,-0.02776701
X_1066,-0.02776701
X_2551,-0.027445462
X_1208,-0.027066134
X_1792,-0.026982626
X_423,-0.026800183
X_890,-0.026785894
X_1529,-0.026717646
X_1221,-0.026717646
X_1740,-0.026698513
X_893,-0.026651741
X_891,-0.026649997
X_892,-0.026614802
X_724,-0.026351509
X_444,-0.026351509
X_1726,-0.026294735
X_394,-0.026156423
X_555,-0.025994505
X_1863,-0.025959083
X_2028,-0.025893924
X_366,-0.025837196
X_185,-0.02562813
X_1732,-0.02559918
X_990,-0.025462619
X_572,-0.025342389
X_1730,-0.025316943
X_783,-0.025122071
X_1014,-0.025113805
X_1139,-0.025026426
X_1490,-0.025026426
X_164,-0.024930624
X_1715,-0.024888836
X_2411,-0.024888836
X_2724,-0.024888836
X_1294,-0.02487379
X_1085,-0.024859587
X_1488,-0.024859587
X_1482,-0.024657598
X_1082,-0.024657598
X_542,-0.024421923
X_1145,-0.024287922
X_1501,-0.024287922
X_614,-0.024247679
X_799,-0.024197331
X_933,-0.024166176
X_445,-0.024154504
X_400,-0.024154504
X_1632,-0.024154397
X_1843,-0.024142254
X_1172,-0.024004684
X_967,-0.024004684
X_2433,-0.023969644
X_1548,-0.02392978
X_557,-0.023927394
X_816,-0.023888419
X_1832,-0.023780834
X_539,-0.023739297
X_1355,-0.023540206
X_332,-0.023408056
X_814,-0.023339343
X_1231,-0.023287773
X_1112,-0.023260187
X_1489,-0.023260187
X_1791,-0.023150588
X_1483,-0.023078025
X_1109,-0.023078025
X_482,-0.023024773
X_916,-0.023024773
X_1769,-0.022880328
X_679,-0.02261023
X_1136,-0.022495493
X_1484,-0.022495493
X_1365,-0.022420676
X_811,-0.022351745
X_421,-0.022057288
X_346,-0.021757455
X_422,-0.021719301
X_782,-0.021686819
X_2762,-0.021658935
X_1665,-0.021405786
X_901,-0.021257505
X_946,-0.021225429
X_1237,-0.021199991
X_1303,-0.021199991
X_635,-0.021178194
X_605,-0.021178194
X_569,-0.021101581
X_1405,-0.020995282
X_1118,-0.020995282
X_393,-0.020941006
X_1652,-0.020936549
X_1306,-0.020789609
X_1240,-0.020789609
X_1054,-0.020724236
X_1459,-0.020724236
X_591,-0.020706231
X_817,-0.02047876
X_709,-0.020463473
X_1091,-0.020367555
X_1500,-0.020367555
X_16,-0.020265718
X_1767,-0.020184457
X_651,-0.019911298
X_477,-0.0199099
X_593,-0.019891081
X_468,-0.019806388
X_734,-0.019806388
X_587,-0.019602392
X_945,-0.019555457
X_1429,-0.019315849
X_60,-0.019225886
X_272,-0.019112887
X_608,-0.01911251
X_1664,-0.018892325
X_1161,-0.018892325
X_511,-0.018831355
X_752,-0.018831355
X_438,-0.018725126
X_820,-0.0186798
X_59,-0.018611925
X_718,-0.018584283
X_768,-0.018566994
X_2776,-0.018441377
X_809,-0.018435808
X_944,-0.018255955
X_1279,-0.018103877
X_1313,-0.018103877
X_463,-0.018048967
X_723,-0.018048967
X_1391,-0.017986749
X_607,-0.017555111
X_1093,-0.017281563
X_1514,-0.017281563
X_94,-0.017014312
X_728,-0.016752088
X_456,-0.016752088
X_1423,-0.016594429
X_1651,-0.016587226
X_592,-0.01649195
X_606,-0.016447045
X_637,-0.016447045
X_57,-0.016443218
X_61,-0.016403751
X_1516,-0.016369466
X_1147,-0.016369466
X_152,-0.016350186
X_1428,-0.016285556
X_2548,-0.016160868
X_2544,-0.016160868
X_2185,-0.016160868
X_2545,-0.016160868
X_1043,-0.016125031
X_1434,-0.016125031
X_1193,-0.016047442
X_856,-0.016042101
X_804,-0.01574069
X_1120,-0.015738258
X_1515,-0.015738258
X_455,-0.01565062
X_401,-0.01565062
X_1663,-0.015604333
X_460,-0.015546974
X_739,-0.015546974
X_961,-0.015417063
X_1049,-0.015417063
X_331,-0.015362615
X_173,-0.015329568
X_362,-0.015038893
X_1096,-0.014832821
X_2845,-0.014832821
X_717,-0.014721902
X_1321,-0.014653055
X_2846,-0.014653055
X_1123,-0.014653055
X_1191,-0.014609448
X_1150,-0.014579165
X_2847,-0.014579165
X_812,-0.014558178
X_806,-0.014366099
X_7,-0.014349273
X_1182,-0.014345591
X_40,-0.014337715
X_39,-0.014301896
X_797,-0.014043948
X_1073,-0.014013585
X_965,-0.014013585
X_9,-0.013998
X_825,-0.01395025
X_736,-0.013871771
X_461,-0.013871771
X_600,-0.013761026
X_802,-0.013560969
X_766,-0.013499101
X_963,-0.01339378
X_1039,-0.01339378
X_906,-0.013216388
X_2463,-0.013163026
X_681,-0.013025229
X_402,-0.012954849
X_465,-0.012954849
X_412,-0.012901223
X_808,-0.012758258
X_1171,-0.01275048
X_665,-0.012723935
X_2767,-0.012700431
X_1373,-0.012582322
X_765,-0.012551743
X_1056,-0.012520948
X_964,-0.012520948
X_384,-0.012517491
X_803,-0.012345791
X_413,-0.012332825
X_518,-0.012325723
X_930,-0.012325723
X_415,-0.012294162
X_800,-0.012269813
X_956,-0.012154742
X_237,-0.012049596
X_470,-0.01200129
X_740,-0.01200129
X_599,-0.011907229
X_713,-0.011775825
X_609,-0.011669257
X_453,-0.011630735
X_722,-0.011630735
X_1060,-0.01158933
X_1435,-0.01158933
X_712,-0.011581249
X_908,-0.011458802
X_531,-0.011360709
X_2450,-0.011273543
X_1441,-0.011271469
X_1030,-0.011271469
X_66,-0.011271091
X_656,-0.011084921
X_653,-0.011084921
X_493,-0.011084921
X_848,-0.010978739
X_831,-0.010888983
X_701,-0.010777837
X_839,-0.010564754
X_819,-0.010560867
X_994,-0.010460954
X_995,-0.010449892
X_993,-0.010440522
X_968,-0.010427108
X_1775,-0.010193677
X_535,-0.01019345
X_520,-0.01019345
X_784,-0.010096003
X_321,-0.009907371
X_320,-0.009907371
X_2766,-0.009562121
X_706,-0.009426452
X_1855,-0.00937558
X_702,-0.00933407
X_18,-0.009258416
X_574,-0.009193219
X_621,-0.009193219
X_1563,-0.009007762
X_2785,-0.008466161
X_536,-0.008451559
X_566,-0.008419427
X_754,-0.008381242
X_1613,-0.008357019
X_1706,-0.008294992
X_517,-0.00824532
X_927,-0.00824532
X_478,-0.008146546
X_417,-0.008132342
X_1614,-0.008093207
X_1421,-0.008020532
X_1610,-0.00796088
X_2764,-0.007960033
X_1609,-0.00793721
X_2717,-0.00782408
X_1105,-0.007814573
X_1078,-0.007814573
X_1132,-0.007814573
X_684,-0.007638556
X_471,-0.007570575
X_737,-0.007570575
X_779,-0.007300193
X_904,-0.007281337
X_15,-0.007279471
X_686,-0.007279408
X_1,-0.007221836
X_1419,-0.007023395
X_885,-0.006884494
X_1745,-0.006868808
X_666,-0.00685522
X_139,-0.006766327
X_1588,-0.006747578
X_1071,-0.006689371
X_1460,-0.006689371
X_1170,-0.00664162
X_1257,-0.006334956
X_1586,-0.006332037
X_978,-0.006252929
X_2749,-0.006225037
X_441,-0.006057525
X_526,-0.006057525
X_1587,-0.006002501
X_1641,-0.00595103
X_1643,-0.005950207
X_1642,-0.005948013
X_1624,-0.005931856
X_1625,-0.00593133
X_1626,-0.005930911
X_1290,-0.005916582
X_2432,-0.005394385
X_2422,-0.00525463
X_97,-0.005068986
X_619,-0.005052743
X_416,-0.005006487
X_675,-0.004731101
X_975,-0.004718606
X_708,-0.004407288
X_826,-0.004400714
X_649,-0.004343561
X_929,-0.004343561
X_502,-0.004343561
X_150,-0.004328823
X_414,-0.004267532
X_705,-0.004235456
X_2743,-0.004229793
X_545,-0.004225806
X_388,-0.004182003
X_1635,-0.004170613
X_798,-0.00415397
X_2744,-0.004142462
X_2747,-0.004121591
X_833,-0.00404582
X_899,-0.00393218
X_2745,-0.003864984
X_1743,-0.00356595
X_832,-0.003517602
X_1270,-0.003413995
X_172,-0.003341701
X_2461,-0.00332791
X_2460,-0.00332791
X_50,-0.003120904
X_1957,-0.003095302
X_448,-0.003079399
X_733,-0.003079399
X_443,-0.003035412
X_721,-0.003035412
X_690,-0.002919299
X_697,-0.002843446
X_458,-0.002843446
X_1636,-0.002628696
X_1384,-0.002603585
X_113,-0.002573747
X_1205,-0.002528372
X_707,-0.002144633
X_269,-0.002100194
X_1660,-0.002050185
X_1661,-0.001981762
X_1160,-0.001981762
X_47,-0.001960756
X_1662,-0.001940793
X_474,-0.001723476
X_877,-0.00169867
X_704,-0.00145744
X_789,-0.001327271
X_2734,-0.001291634
X_1637,-0.000901216
X_2445,-0.000895434
X_1408,-0.000658215
X_668,-0.000362514
X_1658,-0.000345394
X_1659,-0.000344592
X_703,-0.000309492
X_2735,-0.000202627
X_2431,-0.000196953
X_900,-0.000189313
X_1657,-8.83E-05
X_2736,3.61E-06
X_581,5.09E-05
X_632,5.09E-05
X_552,0.000202446
X_570,0.000252398
X_2421,0.000478679
X_1100,0.000732459
X_2857,0.000732459
X_616,0.000856809
X_140,0.000874204
X_1725,0.001029598
X_546,0.001152734
X_1742,0.001168467
X_626,0.001529242
X_576,0.001529242
X_523,0.00153395
X_861,0.00153395
X_953,0.001636099
X_506,0.00165766
X_119,0.00172318
X_1673,0.002263116
X_1755,0.00226737
X_687,0.002298189
X_155,0.002321057
X_2050,0.002415584
X_979,0.002437592
X_1019,0.002713362
X_1164,0.002713362
X_148,0.002789758
X_1672,0.003410721
X_680,0.00342381
X_1814,0.003739291
X_1694,0.003874676
X_553,0.004106631
X_48,0.004160768
X_497,0.004528483
X_644,0.004528483
X_914,0.004528483
X_1655,0.004657174
X_595,0.004658733
X_1204,0.00476341
X_1211,0.004834945
X_615,0.004959947
X_58,0.005031126
X_1266,0.005059915
X_1656,0.005282613
X_181,0.005304474
X_909,0.005374724
X_1018,0.005399827
X_1159,0.005399827
X_499,0.005414104
X_646,0.005414104
X_920,0.005414104
X_1671,0.005516755
X_17,0.005876757
X_1360,0.005914934
X_2105,0.005950527
X_2068,0.005950527
X_2075,0.005950527
X_2840,0.006061079
X_1390,0.006062146
X_437,0.006239415
X_897,0.006320115
X_51,0.006333385
X_2078,0.006400207
X_1343,0.006435253
X_183,0.006451305
X_895,0.006598423
X_648,0.00678133
X_926,0.00678133
X_501,0.00678133
X_685,0.00685522
X_386,0.006917939
X_983,0.006929189
X_1348,0.006931937
X_513,0.006986038
X_915,0.006986038
X_896,0.007078964
X_982,0.007226342
X_490,0.007251928
X_652,0.007251928
X_655,0.007251928
X_115,0.007320812
X_1235,0.007321027
X_942,0.007478092
X_133,0.007478828
X_253,0.007523767
X_943,0.007622735
X_907,0.007663589
X_941,0.007806931
X_2022,0.007926902
X_1648,0.007996029
X_1168,0.008030023
X_1002,0.008180329
X_795,0.008183803
X_1679,0.008234864
X_1649,0.008554917
X_481,0.008590713
X_913,0.008590713
X_2098,0.008635987
X_2044,0.008786102
X_301,0.008902736
X_428,0.008948662
X_981,0.008959936
X_2049,0.00905551
X_2048,0.009105813
X_1590,0.009427055
X_1409,0.009432345
X_1589,0.009437511
X_280,0.009545935
X_510,0.009567959
X_1585,0.009663696
X_46,0.009760194
X_385,0.009801077
X_2716,0.009906702
X_254,0.009907371
X_44,0.009944326
X_731,0.010175014
X_457,0.010175014
X_54,0.010177512
X_436,0.010245618
X_8,0.010297719
X_903,0.010347504
X_1816,0.010508316
X_387,0.010524718
X_662,0.010548421
X_1338,0.01066811
X_1444,0.010736332
X_1031,0.010736332
X_562,0.010913049
X_762,0.010913049
X_788,0.01091972
X_1347,0.010936378
X_1383,0.010956967
X_2084,0.010991569
X_2091,0.010991569
X_2111,0.010991569
X_878,0.011020542
X_959,0.01119951
X_1166,0.01119951
X_1812,0.011294569
X_1450,0.011331708
X_1051,0.011331708
X_538,0.011386927
X_1052,0.011399741
X_1453,0.011399741
X_2858,0.011662111
X_1127,0.011662111
X_1325,0.011662111
X_1236,0.012059121
X_1034,0.012116789
X_1449,0.012116789
X_2430,0.012130242
X_45,0.01214641
X_1200,0.012150478
X_571,0.012167454
X_1678,0.012216396
X_1201,0.012346363
X_753,0.012496678
X_883,0.012560385
X_1035,0.01258606
X_1452,0.01258606
X_1454,0.012625889
X_1069,0.012625889
X_1584,0.012776679
X_117,0.012788194
X_1862,0.012843673
X_537,0.012852549
X_823,0.013034346
X_1746,0.013038333
X_435,0.013074578
X_107,0.013094571
X_810,0.013103793
X_1650,0.013124327
X_2446,0.013125309
X_1302,0.013280227
X_479,0.01328312
X_750,0.01328312
X_1291,0.01331696
X_1068,0.013371976
X_1451,0.013371976
X_98,0.013463514
X_1930,0.013619295
X_735,0.013826436
X_451,0.013826436
X_1292,0.01385677
X_845,0.013918608
X_787,0.013960912
X_305,0.013962663
X_88,0.013998
X_87,0.013998
X_86,0.013998
X_716,0.013999637
X_99,0.014026265
X_699,0.014057389
X_822,0.014102174
X_763,0.014111913
X_1304,0.01411607
X_1238,0.01411607
X_1354,0.014140915
X_563,0.014155506
X_921,0.014268976
X_515,0.014268976
X_1352,0.014279708
X_2047,0.014294797
X_2452,0.014361961
X_2839,0.014406698
X_838,0.014494798
X_299,0.014504424
X_2046,0.014631504
X_602,0.014647671
X_1445,0.014719254
X_1048,0.014719254
X_2045,0.014975921
X_1046,0.015002037
X_1400,0.015002037
X_1375,0.015077274
X_494,0.015137033
X_654,0.015137033
X_657,0.015137033
X_49,0.015203321
X_894,0.01531589
X_1551,0.01533795
X_1477,0.015353861
X_1106,0.015353861
X_1111,0.015384844
X_1331,0.015384844
X_1334,0.015384844
X_1079,0.015397201
X_1476,0.015397201
X_1478,0.015415717
X_1133,0.015415717
X_1084,0.015478446
X_1552,0.015487719
X_1027,0.015560768
X_1436,0.015560768
X_1138,0.015561431
X_2457,0.01565227
X_821,0.015715602
X_1550,0.015743528
X_1583,0.015799764
X_296,0.016040582
X_846,0.016046371
X_840,0.016079679
X_1246,0.016171653
X_1422,0.016203901
X_862,0.01645886
X_2794,0.016547795
X_794,0.016718977
X_613,0.017108791
X_1044,0.017207434
X_1437,0.017207434
X_168,0.017299205
X_395,0.017465508
X_1063,0.01752745
X_1440,0.01752745
